Filename,255_Pixel_Ratio,Percentage,Saved
L2016285.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.314278,31.43,No
L2016286.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016287.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.248361,24.84,Yes
L2016288.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.048193,4.82,Yes
L2016289.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.012542,1.25,Yes
L2016290.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016291.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.313298,31.33,No
L2016292.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.120693,12.07,Yes
L2016293.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.024601,2.46,Yes
L2016294.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016295.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.408288,40.83,No
L2016296.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.265102,26.51,Yes
L2016297.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.124643,12.46,Yes
L2016298.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016299.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.176722,17.67,Yes
L2016300.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412489,41.25,No
L2016301.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016302.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016303.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.309248,30.92,No
L2016304.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412402,41.24,No
L2016305.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.411234,41.12,No
L2016306.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016307.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.336147,33.61,No
L2016308.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.253006,25.30,Yes
L2016309.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016310.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.385955,38.60,No
L2016311.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.005643,0.56,Yes
L2016312.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.006063,0.61,Yes
L2016313.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016314.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.363881,36.39,No
L2016315.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.035942,3.59,Yes
L2016316.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.282522,28.25,Yes
L2016317.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016318.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.112451,11.25,Yes
L2016319.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.142009,14.20,Yes
L2016320.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.146426,14.64,Yes
